,0,1
1212,Citizens of Springfield,Balloon seller
1213,Citizens of Springfield,Balloon Seller (Dumbbell Indemnity)
1214,Citizens of Springfield,Bank Teller
1215,Citizens of Springfield,Banker
1216,Citizens of Springfield,Banker with Antlers
1217,Citizens of Springfield,Harv Bannister
1218,Citizens of Springfield,Barbara Lelavinsky
1219,Citizens of Springfield,Red Barclay
1220,Citizens of Springfield,Birch Barlow
1221,Citizens of Springfield,Barrow Spuckler
1222,Citizens of Springfield,Barry Mackleberry
1223,Citizens of Springfield,Bart and Darcy's baby
1224,Citizens of Springfield,Bart Cumberdale
1225,Citizens of Springfield,Bartman (character)
1226,Citizens of Springfield,Baseball Announcer (Brother from the Same Planet)
1227,Citizens of Springfield,Baseball Announcer 1
1228,Citizens of Springfield,Baseball Announcer 2
1229,Citizens of Springfield,Bathroom Employee
1230,Citizens of Springfield,Baz
1231,Citizens of Springfield,Bear Actor
1232,Citizens of Springfield,Bearded Lady (Homerpalooza)
1233,Citizens of Springfield,Jasper Beardsley
1235,Citizens of Springfield,Beatrice
1236,Citizens of Springfield,Beatrice (Dangerous Curves)
1237,Citizens of Springfield,Mr. Becker
1238,Citizens of Springfield,"Becky (It's a Mad, Mad, Mad, Mad Marge)"
1239,Citizens of Springfield,Becky Shorter
1240,Citizens of Springfield,Bee-eating guy
1241,Citizens of Springfield,Beef heart guy
1242,Citizens of Springfield,Beekeeper
1243,Citizens of Springfield,Beekeeper's assistant
1244,Citizens of Springfield,Beer Vendor
1245,Citizens of Springfield,Beezee
1246,Citizens of Springfield,Adrian Belew
1247,Citizens of Springfield,Chester Bellamy
1248,Citizens of Springfield,Belle (senior)
1249,Citizens of Springfield,Ben Guest
1250,Citizens of Springfield,Ben Schatz (character)
1251,Citizens of Springfield,Benevenstanciano
1252,Citizens of Springfield,Benjamin (nerd)
1253,Citizens of Springfield,Benzine girl
1254,Citizens of Springfield,Chuck Berger
1255,Citizens of Springfield,Bernadette Fromage
1256,Citizens of Springfield,Bernard DeBoeuf
1257,Citizens of Springfield,Bernice (KBBL)
1258,Citizens of Springfield,Bernie
1259,Citizens of Springfield,Carol Berrera
1260,Citizens of Springfield,Bertram Hickman
1261,Citizens of Springfield,Betty
1262,Citizens of Springfield,Betsy Bidwell
1263,Citizens of Springfield,Biff Westwood
1264,Citizens of Springfield,Big & Tall Hazmat Suit Store Clerk
1265,Citizens of Springfield,Bigfoot Kid
1266,Citizens of Springfield,Bigfoot's Capturer
1267,Citizens of Springfield,Bigger Brothers clerk
1268,Citizens of Springfield,Bighorn sheep
1269,Citizens of Springfield,Bill (Accountant)
1270,Citizens of Springfield,Bill (KBBL DJ)
1271,Citizens of Springfield,Bill (Postcards from the Wedge)
1273,Citizens of Springfield,Billy (actor)
1274,Citizens of Springfield,Billy (flashback)
1275,Citizens of Springfield,Billy (The Wife Aquatic)
1276,Citizens of Springfield,Amid bin Laden
1277,Citizens of Springfield,Bashir bin Laden
1278,Citizens of Springfield,Blackjack dealer
1279,Citizens of Springfield,Blake
1280,Citizens of Springfield,Blake Black
1281,Citizens of Springfield,Blazing Guy Actor
1282,Citizens of Springfield,Blazing Guy Member 2
1283,Citizens of Springfield,Blazing Guy Member 3
1284,Citizens of Springfield,Ms. Bloomenstein
1285,Citizens of Springfield,Blue-Haired Lawyer
1286,Citizens of Springfield,Blues Boy
1287,Citizens of Springfield,Boat Clerk
1288,Citizens of Springfield,Bob Security Guard 1
1289,Citizens of Springfield,Bob Security Guard 2
1290,Citizens of Springfield,Bob's Groomer
1291,Citizens of Springfield,Bobby Mindix
1292,Citizens of Springfield,Bodhi
1293,Citizens of Springfield,Bolt Guy
1294,Citizens of Springfield,Bonnie Flanders
1295,Citizens of Springfield,Book Clerk
1296,Citizens of Springfield,Scotty Boom
1297,Citizens of Springfield,Booth Wilkes-John
1298,Citizens of Springfield,Ernest Borgnine (character)
1299,Citizens of Springfield,Wendell Borton
1300,Citizens of Springfield,Bouncer (Fear of Flying)
1301,Citizens of Springfield,Bouncer (Scenes from the Class Struggle in Springfield)
1302,Citizens of Springfield,Bourbon Verlander
1304,Citizens of Springfield,Clancy Bouvier
1305,Citizens of Springfield,Jacqueline Bouvier
1306,Citizens of Springfield,Bowl-O-Rama Clerk
1307,Citizens of Springfield,Bowlarama Painter
1308,Citizens of Springfield,Bowlarama Scientist
1309,Citizens of Springfield,Bowler 1
1310,Citizens of Springfield,Bowler 2
1311,Citizens of Springfield,Bowler 3
1312,Citizens of Springfield,Bowler 4
1631,Female characters,"""Little Miss Springfield"" girl"
1632,Female characters,3 Little Pigs
1634,Female characters,Abby
1635,Female characters,Eleanor Abernathy
1636,Female characters,Abigail
1637,Female characters,Addy
1638,Female characters,Admissions Agent 1
1639,Female characters,Afro Girl
1640,Female characters,Agnes Moorehead
1641,Female characters,Aileen
1642,Female characters,Air Hostess
1643,Female characters,Air Safety Inspector 2
1644,Female characters,Alberta Bazaar
1645,Female characters,Kumiko Albertson
1646,Female characters,Ms. Albright
1647,Female characters,Alcoholic Employee
1648,Female characters,Anastasia Alekova
1649,Female characters,Alexandria Ocasio-Cortez
1650,Female characters,Alfreda Bouvier II
1651,Female characters,Allison Janney
1652,Female characters,Alvarine Bisque
1653,Female characters,Amanda Ormand
1654,Female characters,Ameil
1655,Female characters,Amelia Vanderbuckle
1656,Female characters,Amy
1657,Female characters,Amy Tan (character)
1658,Female characters,Amy Wong
1659,Female characters,Anastasia
1660,Female characters,Anastasia.
1661,Female characters,Angela (Family Guy)
1662,Female characters,Angelica
1663,Female characters,Angelica Button
1664,Female characters,Angelica D'Amico
1665,Female characters,Angelique Marceau
1666,Female characters,Angry Mob
1667,Female characters,Angry Mom
1668,Female characters,Animal Woman
1669,Female characters,Anita
1670,Female characters,Anne Bancroft
1671,Female characters,Anne-Marie Charles
1672,Female characters,Annette
1673,Female characters,Annette (therapist)
1674,Female characters,Annie (Ant)
1675,Female characters,Annie Crawford
1676,Female characters,Annie Dubinsky
1677,Female characters,Tattoo Annie
1678,Female characters,Annika Van Houten
1679,Female characters,Antonio Salieri
1680,Female characters,Anya
1681,Female characters,Apu's Dog
1682,Female characters,Architect Relative
1683,Female characters,Art teacher
1684,Female characters,Ashley
1685,Female characters,Ashley (3rd Grader)
1686,Female characters,Ashley Grant
1687,Female characters,Assia Djebar
1688,Female characters,Astrid Weller
1689,Female characters,Astronomer
1690,Female characters,Audrey McConnell's Student 3
1691,Female characters,Audrey McConnell's Student 8
1692,Female characters,Audrey Meadows
1693,Female characters,Augusta Flanders
1694,Female characters,Aunt Edith
1695,Female characters,Aunt Gladys
1696,Female characters,Auntie Ovenfresh
1697,Female characters,Ayanna Pressley
1698,Female characters,Babette Bouvier
1699,Female characters,Baboons
1700,Female characters,Babs Twilly
1701,Female characters,Baby Button Eyes
1702,Female characters,Baby Translator Customer 1
1703,Female characters,Baby-Proofing Saleswoman
1704,Female characters,Babysitter
1705,Female characters,Babysitting Lady
1706,Female characters,Bacardi Woman
1707,Female characters,Mary Bailey
1708,Female characters,Ball pit employee 1
1709,Female characters,Ball pit employee 2
1710,Female characters,Tina Ballerina
1711,Female characters,Ballet Teacher
1712,Female characters,Barbara Belfry
1713,Female characters,Barbara Lelavinsky
1714,Female characters,Barbara Pewterschmidt
1715,Female characters,Rosa Barks
1716,Female characters,Bart Lisa
1718,Female characters,Bartina
1719,Female characters,Baz
1720,Female characters,Mother Bear
1721,Female characters,Bearded Lady (Bart Carny)
1722,Female characters,Bearded Lady (Homerpalooza)
1723,Female characters,Beatrice
1724,Female characters,Beatrice (Dangerous Curves)
1725,Female characters,Beatrice Simmons
1726,Female characters,Daphne Beaumont
1727,Female characters,Becca Van Horne
1728,Female characters,"Becky (It's a Mad, Mad, Mad, Mad Marge)"
1729,Female characters,Becky Shorter
1730,Female characters,Beezee
1731,Female characters,Bella
1732,Female characters,Bella-Ella
1733,Female characters,Myrna Bellamy
1734,Female characters,Belle
1735,Female characters,Belle (senior)
1736,Female characters,Ben Guest
1737,Female characters,Benzine girl
1738,Female characters,Bernadette Fromage
1739,Female characters,Bernice (KBBL)
1740,Female characters,Betsy
1741,Female characters,Betsy Graycomb
1742,Female characters,Bette
1743,Female characters,Bette Midler (character)
1744,Female characters,Betty
1745,Female characters,Betty Bouvier
1746,Female characters,Betty White (character)
1747,Female characters,Betsy Bidwell
1748,Female characters,Bigger Brothers clerk
1749,Female characters,Billie Jean King
1750,Female characters,Birgit
1751,Female characters,Bitey
1752,Female characters,Black hole aliens
1753,Female characters,Blanche Auditioner 1
1754,Female characters,Blanche Auditioner 2
1755,Female characters,Blanche Auditioner 3
1756,Female characters,Blazing Guy Member 3
